ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85067019056,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85066444082,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85059839967,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065619948,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065501184,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85067899355,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065931767,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85064322514,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85064228514,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85063425129,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85066061394,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065214842,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85056651553,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85062664013,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85060098999,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85058877724,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85055546766,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85048930046,Bias Reduction and Metric Learning for Nearest-Neighbor Estimation of Kullback-Leibler Divergence.,2018,Neural Computation,Yung-Kyun Noh,Masashi Sugiyama,Song Liu,Marthinus Christoffel du Plessis,Frank Chongwoo Park,Daniel D. Lee,,,,,,,
2-s2.0-84955440336,Bias Reduction and Metric Learning for Nearest-Neighbor Estimation of Kullback-Leibler Divergence.,2018,Neural Computation,Yung-Kyun Noh,Masashi Sugiyama,Song Liu,Marthinus Christoffel du Plessis,Frank Chongwoo Park,Daniel D. Lee,,,,,,,
2-s2.0-85048928469,A Dynamic Neural Gradient Model of Two-Item and Intermediate Transposition.,2018,Neural Computation,Gavin W. Jenkins,Paul F. Tupper,,,,,,,,,,,
2-s2.0-85048934471,A Reinforcement Learning Neural Network for Robotic Manipulator Control.,2018,Neural Computation,Yazhou Hu,Bailu Si,,,,,,,,,,,
2-s2.0-85050148921,Machine Learning: Deepest Learning as Statistical Data Assimilation Problems.,2018,Neural Computation,Henry D. I. Abarbanel,Paul Rozdeba,Sasha Shirman,,,,,,,,,,
2-s2.0-85050110099,Optimal Decoding of Dynamic Stimuli by Heterogeneous Populations of Spiking Neurons: A Closed-Form Approximation.,2018,Neural Computation,Yuval Harel,Ron Meir,Manfred Opper,,,,,,,,,,
