ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949257093,Behavioral plasticity through the modulation of switch neurons.,2016,Evolutionary Computation,Vassilis Vassiliades,Chris Christodoulou,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84948972901,Event-triggered synchronization strategy for complex dynamical networks with the Markovian switching topologies.,2016,Evolutionary Computation,Aijuan Wang,Tao Dong,Xiaofeng Liao,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949309460,Stability of discrete time recurrent neural networks and nonlinear optimization problems.,2016,Evolutionary Computation,Jayant Singh,Nikita Barabanov,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949525786,"Boundedness, Mittag-Leffler stability and asymptotical ω-periodicity of fractional-order fuzzy neural networks.",2016,Evolutionary Computation,Ailong Wu,Zhigang Zeng,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-85013816800,None,2016,Evolutionary Computation,K. Mathiyalagan,Ranganathan Anbuvithya,Rathinasamy Sakthivel,Ju H. Park,Periasamy Prakash,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84952878427,A graph-based N-body approximation with application to stochastic neighbor embedding.,2016,Evolutionary Computation,Eli Parviainen,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84952893502,A divide-and-combine method for large scale nonparallel support vector machines.,2016,Evolutionary Computation,Yingjie Tian,Xuchan Ju,Yong Shi,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949657005,Centralized and decentralized global outer-synchronization of asymmetric recurrent time-varying neural network by data-sampling.,2016,Evolutionary Computation,Wenlian Lu,Ren Zheng,Tianping Chen,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949740885,Synchronized bifurcation and stability in a ring of diffusively coupled neurons with time delay.,2016,Evolutionary Computation,Ling Wang,Hongyong Zhao,Jinde Cao,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84949870428,Matrix measure based dissipativity analysis for inertial delayed uncertain neural networks.,2016,Evolutionary Computation,Zhengwen Tu,Jinde Cao,Tasawar Hayat,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84950288341,Improved system identification using artificial neural networks and analysis of individual differences in responses of an identified neuron.,2016,Evolutionary Computation,Alicia Costalago Meruelo,David M. Simpson,Sandor M. Veres,Philip L. Newland,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84950319674,Subspace segmentation by dense block and sparse representation.,2016,Evolutionary Computation,Kewei Tang,David B. Dunson,Zhixun Su,Risheng Liu,Jie Zhang,Jiangxin Dong,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84951069500,Neuroplasticity in dynamic neural networks comprised of neurons attached to adaptive base plate.,2016,Evolutionary Computation,Abdolreza Joghataie,Mehrdad Shafiei Dizaji,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84952782663,Finite-time stabilization control for discontinuous time-delayed networks: New switching design.,2016,Evolutionary Computation,Ling-Ling Zhang,Li-Hong Huang,Zuo-Wei Cai,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84952784614,Existence and global exponential stability of periodic solution of memristor-based BAM neural networks with time-varying delays.,2016,Evolutionary Computation,Hongfei Li,Haijun Jiang,Cheng Hu,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84953283382,Multi-view L2-SVM and its multi-view core vector machine.,2016,Evolutionary Computation,Chengquan Huang,Korris Fu-Lai Chung,Shitong Wang,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84953376998,Cross-validation of matching correlation analysis by resampling matching weights.,2016,Evolutionary Computation,Hidetoshi Shimodaira,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84954507966,Neuro-genetic system for optimization of GMI samples sensitivity.,2016,Evolutionary Computation,A. C. O. Pitta Botelho,Marley M. B. R. Vellasco,Carlos R. Hall Barbosa,E. Costa Silva,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84954323821,Two fast and accurate heuristic RBF learning rules for data classification.,2016,Evolutionary Computation,Modjtaba Rouhani,Dawood S. Javan,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84954320181,Exponential stabilization and synchronization for fuzzy model of memristive neural networks by periodically intermittent control.,2016,Evolutionary Computation,Shiju Yang,Chuandong Li,Tingwen Huang,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84954436439,A theory of cerebellar cortex and adaptive motor control based on two types of universal function approximation capability.,2016,Evolutionary Computation,Masahiko Fujita,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84961323577,Pinning cluster synchronization in an array of coupled neural networks under event-based mechanism.,2016,Evolutionary Computation,Lulu Li,Daniel W. C. Ho,Jinde Cao,Jianquan Lu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84956639268,Effects of self-coupling and asymmetric output on metastable dynamical transient firing patterns in arrays of neurons with bidirectional inhibitory coupling.,2016,Evolutionary Computation,Yo Horikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84956752307,A Fast Reduced Kernel Extreme Learning Machine.,2016,Evolutionary Computation,Wan-Yu Deng,Yew-Soon Ong,Qing-Hua Zheng,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84963650752,A local Echo State Property through the largest Lyapunov exponent.,2016,Evolutionary Computation,Gilles Wainrib,Mathieu Galtier,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957606212,Finite-time robust stabilization of uncertain delayed neural networks with discontinuous activations via delayed feedback control.,2016,Evolutionary Computation,Leimin Wang,Yi Shen,Yin Sheng,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957590698,Quantum perceptron over a field and neural network architecture selection in a quantum computer.,2016,Evolutionary Computation,Adenilton J. da Silva,Teresa Bernarda Ludermir,Wilson Rosa de Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957568949,Learning contextualized semantics from co-occurring terms via a Siamese architecture.,2016,Evolutionary Computation,Ubai Sandouk,Ke Chen,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957542092,Projective synchronization of nonidentical fractional-order neural networks based on sliding mode controller.,2016,Evolutionary Computation,Zhixia Ding,Yi Shen,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957874293,An ensemble of dynamic neural network identifiers for fault detection and isolation of gas turbine engines.,2016,Evolutionary Computation,M. Amozegar,Khashayar Khorasani,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84957890764,Hybrid feedback feedforward: An efficient design of adaptive neural network control.,2016,Evolutionary Computation,Yongping Pan,Yiqi Liu,Bin Xu,Haoyong Yu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84958167803,Multi-source adaptation joint kernel sparse representation for visual classification.,2016,Evolutionary Computation,Jianwen Tao,Wenjun Hu,Shiting Wen,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84958163714,Image and geometry processing with Oriented and Scalable Map.,2016,Evolutionary Computation,Hao Hua,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84960912238,Noise further expresses exponential decay for globally exponentially stable time-varying delayed neural networks.,2016,Evolutionary Computation,Song Zhu,Qiqi Yang,Yi Shen,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84960844016,A Fast SVD-Hidden-nodes based Extreme Learning Machine for Large-Scale Data Analytics.,2016,Evolutionary Computation,Wan-Yu Deng,Zuo Bai,Guang-Bin Huang,Qing-Hua Zheng,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84958985779,Neuromorphic VLSI realization of the hippocampal formation.,2016,Evolutionary Computation,Anu Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84959235423,Synchronization for an array of neural networks with hybrid coupling by a novel pinning control strategy.,2016,Evolutionary Computation,Dawei Gong,Frank L. Lewis,Liping Wang,Ke Xu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-85013816800,None,2016,Evolutionary Computation,R. Rakkiyappan,R. Sivaranjani,G. Velmurugan,Jinde Cao,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84959377673,State estimation for a class of artificial neural networks with stochastically corrupted measurements under Round-Robin protocol.,2016,Evolutionary Computation,Yuqiang Luo,Zidong Wang,Guoliang Wei,Fuad E. Alsaadi,Tasawar Hayat,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84959328725,Global exponential stability of neural networks with time-varying delay based on free-matrix-based integral inequality.,2016,Evolutionary Computation,Yong He,Meng-Di Ji,Chuan-Ke Zhang,Min Wu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84959386388,"Towards holographic ""brain"" memory based on randomization and Walsh-Hadamard transformation.",2016,Evolutionary Computation,Daniel Berend,Shlomi Dolev,Sergey Frenkel,Ariel Hanemann,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84959539763,Function approximation in inhibitory networks.,2016,Evolutionary Computation,Bryan P. Tripp,Chris Eliasmith,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84960927848,Tensor SOM and tensor GTM: Nonlinear tensor analysis by topographic mappings.,2016,Evolutionary Computation,Tohru Iwasaki,Tetsuo Furukawa,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84947998944,Evolving spatio-temporal data machines based on the NeuCube neuromorphic framework: Design methodology and selected applications.,2016,Evolutionary Computation,Nikola Kasabov,Nathan Matthew Scott,Enmei Tu,Stefan Marks,Neelava Sengupta,Elisa Capecci,Muhaini Othman,Maryam Gholami Doborjeh,Norhanifah Murli,Reggio N. Hartono,Josafath Israel Espinosa Ramos,Lei Zhou,Fahad Bashir Alvi,Grace Y. Wang,Denise Taylor,Valery Feigin,Sergei Gulyaev,Mahmoud S. Mahmoud,Zeng-Guang Hou,Jie Yang,,,,,,,,
2-s2.0-84949871128,Noise-enhanced convolutional neural networks.,2016,Evolutionary Computation,Kartik Audhkhasi,Osonde Osoba,Bart Kosko,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84945262650,Hadoop neural network for parallel and distributed feature selection.,2016,Evolutionary Computation,Victoria J. Hodge,Simon O'Keefe,Jim Austin,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84977957815,A new Growing Neural Gas for clustering data streams.,2016,Evolutionary Computation,Mohammed Ghesmoune,Mustapha Lebbah,Hanene Azzag,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84961878212,Scalable learning method for feedforward neural networks using minimal-enclosing-ball approximation.,2016,Evolutionary Computation,Jun Wang,Zhaohong Deng,Xiaoqing Luo,Yizhang Jiang,Shitong Wang,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84940676201,A decentralized training algorithm for Echo State Networks in distributed big data applications.,2016,Evolutionary Computation,Simone Scardapane,Dianhui Wang,Massimo Panella,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84951855624,Smart sampling and incremental function learning for very large high dimensional data.,2016,Evolutionary Computation,Diego Guillermo Loyola Rodriguez,Mattia Pedergnana,Sebastian Gimeno-Garcia,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84977961812,Least square neural network model of the crude oil blending process.,2016,Evolutionary Computation,José de Jesús Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,
